,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Berlevag,75.0,NO,1510847400.0,92.0,70.86,29.09,33.8,14.99
1,Freeport,76.0,BS,1510850940.0,97.0,26.53,-78.7,78.0,16.02
2,Rikitea,20.0,PF,1510850942.0,100.0,-23.12,-134.97,75.53,7.52
3,Punta Arenas,90.0,CL,1510848000.0,87.0,-53.15,-70.92,42.8,8.05
4,Castro,92.0,CL,1510850946.0,83.0,-42.47,-73.77,52.76,12.21
5,Busselton,88.0,AU,1510850948.0,97.0,-33.65,115.33,67.43,19.48
6,Miastko,88.0,PL,1510850950.0,98.0,54.0,16.98,42.05,9.75
7,Dikson,12.0,RU,1510850953.0,100.0,73.51,80.55,0.38,21.72
8,Vernon,75.0,US,1510848900.0,36.0,34.15,-99.27,60.8,8.05
9,Khatanga,56.0,RU,1510850957.0,65.0,71.97,102.5,-8.18,5.17
10,Bluff,0.0,NZ,1510850959.0,100.0,-46.6,168.33,51.18,16.35
11,Bengkulu,36.0,ID,1510850961.0,100.0,-3.8,102.27,80.57,2.15
12,Qaqortoq,75.0,GL,1510847400.0,85.0,60.72,-46.03,24.8,4.7
13,San Cristobal,75.0,EC,1510848000.0,69.0,-0.9,-89.62,75.2,13.87
14,Ushuaia,40.0,AR,1510848000.0,65.0,-54.8,-68.3,46.4,5.82
15,Laguna,44.0,BR,1510850969.0,86.0,-28.48,-48.78,73.01,17.69
16,Verkhnyaya Sinyachikha,56.0,RU,1510850971.0,95.0,57.98,61.67,23.15,3.6
17,Pirna,0.0,DE,1510849200.0,86.0,50.96,13.94,41.0,6.93
18,Port Alfred,92.0,ZA,1510850758.0,100.0,-33.59,26.89,59.51,12.1
19,Mar del Plata,40.0,AR,1510848000.0,48.0,-38.0,-57.56,66.2,10.29
20,Bredasdorp,0.0,ZA,1510848000.0,52.0,-34.53,20.04,66.2,12.75
21,Barrow,90.0,US,1510847580.0,92.0,71.29,-156.79,15.8,16.11
22,Marawi,0.0,SD,1510850983.0,36.0,18.48,31.82,79.94,8.41
23,Sanmenxia,88.0,CN,1510850985.0,86.0,34.77,111.18,41.06,2.37
24,Fairbanks,90.0,US,1510849380.0,92.0,64.84,-147.72,12.2,3.36
25,Cape Town,20.0,ZA,1510848000.0,49.0,-33.93,18.42,68.0,20.8
26,Coihaique,75.0,CL,1510848000.0,54.0,-45.58,-72.07,53.6,14.99
27,Inta,76.0,RU,1510850992.0,84.0,66.03,60.17,28.05,6.06
28,Arrecife,75.0,ES,1510849800.0,64.0,28.96,-13.55,71.6,11.41
29,Nerang,90.0,AU,1510849800.0,82.0,-27.98,153.33,68.0,5.82
30,Nago,90.0,JP,1510849740.0,83.0,26.59,127.98,71.6,12.75
31,Carnarvon,36.0,AU,1510851002.0,100.0,-24.87,113.63,69.5,10.31
32,Vaini,20.0,TO,1510848000.0,94.0,-21.2,-175.2,75.2,19.48
33,Aklavik,90.0,CA,1510849620.0,83.0,68.22,-135.01,-4.01,10.29
34,Jinka,0.0,ET,1510851008.0,54.0,5.65,36.65,65.76,3.71
35,Okhotsk,56.0,RU,1510851010.0,100.0,59.38,143.3,6.05,4.72
36,Port Hawkesbury,1.0,CA,1510848000.0,64.0,45.62,-61.35,39.2,3.36
37,Jamestown,24.0,SH,1510851017.0,100.0,-15.94,-5.72,68.73,21.83
38,Puerto Ayora,75.0,EC,1510848000.0,64.0,-0.74,-90.35,75.2,11.41
39,Hilo,90.0,US,1510850580.0,94.0,19.73,-155.09,68.0,19.15
40,Kapaa,75.0,US,1510847760.0,78.0,22.08,-159.32,73.4,21.92
41,Rawson,32.0,AR,1510851025.0,59.0,-43.3,-65.1,66.98,17.47
42,Polis,0.0,CY,1510849800.0,77.0,35.04,32.43,62.6,6.93
43,Maragogi,48.0,BR,1510851029.0,74.0,-9.01,-35.22,80.48,11.99
44,Galveston,1.0,US,1510848900.0,83.0,29.3,-94.8,77.0,10.29
45,East London,40.0,ZA,1510848000.0,55.0,-33.02,27.91,60.8,12.75
46,Flinders,92.0,AU,1510848000.0,93.0,-34.58,150.86,59.0,3.36
47,Ponta do Sol,76.0,CV,1510851036.0,100.0,17.2,-25.09,77.28,12.55
48,Moroni,20.0,KM,1510848000.0,74.0,-11.7,43.26,84.2,6.93
49,Road Town,20.0,VG,1510848000.0,83.0,18.42,-64.62,80.6,5.82
50,Tuatapere,36.0,NZ,1510851043.0,100.0,-46.13,167.68,49.65,12.21
51,Yulara,0.0,AU,1510848000.0,77.0,-25.24,130.99,68.0,6.93
52,Port Blair,0.0,IN,1510851047.0,100.0,11.67,92.75,82.82,1.92
53,Cherskiy,48.0,RU,1510851049.0,73.0,68.75,161.3,0.56,7.52
54,Yarkovo,92.0,RU,1510851053.0,94.0,57.4,67.08,34.35,11.88
55,Hostotipaquillo,0.0,MX,1510851055.0,30.0,21.07,-104.07,78.18,2.04
56,Messini,40.0,GR,1510849200.0,68.0,37.05,22.01,66.2,6.93
57,Lakes Entrance,88.0,AU,1510851061.0,94.0,-37.88,147.98,63.15,9.98
58,Makinsk,68.0,KZ,1510851064.0,93.0,52.63,70.42,28.46,16.91
59,Hermanus,8.0,ZA,1510851066.0,63.0,-34.42,19.23,58.7,8.63
60,Tuktoyaktuk,90.0,CA,1510848000.0,84.0,69.45,-133.04,-0.41,8.05
61,Souillac,75.0,MU,1510848000.0,94.0,-20.52,57.52,75.2,3.36
62,Synya,92.0,RU,1510851072.0,84.0,65.37,58.04,27.78,8.41
63,Bumba,76.0,CD,1510851077.0,88.0,2.18,22.47,77.73,4.16
64,Comodoro Rivadavia,75.0,AR,1510849440.0,31.0,-45.87,-67.5,73.4,20.8
65,Maldonado,75.0,UY,1510848000.0,55.0,-34.9,-54.95,64.4,16.11
66,Norman Wells,90.0,CA,1510849140.0,84.0,65.28,-126.83,1.4,2.24
67,Albany,48.0,AU,1510851088.0,79.0,-35.02,117.89,68.69,12.66
68,Dzhebariki-Khaya,68.0,RU,1510851090.0,38.0,62.22,135.8,-25.37,2.82
69,Avarua,75.0,CK,1510848000.0,88.0,-21.21,-159.78,75.2,4.7
70,Butaritari,12.0,KI,1510851093.0,100.0,3.07,172.79,82.37,8.08
71,Longyearbyen,75.0,SJ,1510849200.0,73.0,78.22,15.64,26.6,16.11
72,Basco,48.0,PH,1510851099.0,100.0,20.45,121.97,81.15,13.22
73,Hami,80.0,CN,1510851101.0,83.0,42.8,93.45,27.74,2.59
74,Ribeira Grande,40.0,PT,1510849800.0,73.0,38.52,-28.7,69.8,8.05
75,Tasiilaq,20.0,GL,1510847400.0,79.0,65.61,-37.64,21.2,3.36
76,Roald,75.0,NO,1510849200.0,87.0,62.58,6.13,42.8,16.11
77,Chateaubelair,75.0,VC,1510848000.0,79.0,13.28,-61.25,86.0,11.41
78,Maple Creek,0.0,CA,1510851110.0,70.0,49.92,-109.48,41.15,20.83
79,Mahebourg,75.0,MU,1510848000.0,94.0,-20.41,57.7,75.2,3.36
80,Alice Springs,20.0,AU,1510849800.0,72.0,-23.7,133.88,68.0,6.93
81,Provideniya,48.0,RU,1510851123.0,100.0,64.38,-173.3,31.61,28.54
82,Abu Zabad,0.0,SD,1510851125.0,52.0,12.35,29.25,76.97,2.37
83,Sitka,1.0,US,1510847760.0,63.0,57.05,-135.33,26.6,3.36
84,Komsomolskiy,12.0,RU,1510851129.0,91.0,43.98,46.7,42.81,4.38
85,Ojinaga,0.0,MX,1510851131.0,30.0,29.57,-104.42,68.91,4.05
86,Sisimiut,12.0,GL,1510851133.0,100.0,66.94,-53.67,-6.02,2.37
87,Tula,0.0,MX,1510851136.0,55.0,23.0,-99.72,76.79,2.59
88,Sucua,56.0,EC,1510851138.0,95.0,-2.47,-78.17,73.86,4.05
89,Padang,88.0,ID,1510851140.0,100.0,-0.95,100.35,78.41,1.59
90,Sao Filipe,88.0,CV,1510851142.0,94.0,14.9,-24.5,78.9,8.63
91,Hithadhoo,92.0,MV,1510851144.0,100.0,-0.6,73.08,83.0,13.22
92,Najran,0.0,SA,1510848000.0,22.0,17.49,44.13,69.8,4.7
93,Hovd,80.0,MN,1510851149.0,80.0,48.01,91.64,13.61,0.92
94,Hobart,75.0,AU,1510849800.0,93.0,-42.88,147.33,55.4,5.82
95,Abalak,0.0,NE,1510851153.0,57.0,15.45,6.28,79.85,2.93
96,Georgetown,8.0,SH,1510851155.0,100.0,-7.93,-14.42,75.08,18.7
97,Concarneau,0.0,FR,1510849800.0,87.0,47.88,-3.92,51.8,2.24
98,Yellowknife,90.0,CA,1510848000.0,84.0,62.46,-114.35,5.0,12.75
99,Port Elizabeth,40.0,ZA,1510848000.0,63.0,-33.92,25.57,60.8,8.05
100,El Rosario,20.0,SV,1510847400.0,58.0,13.5,-89.03,86.0,4.7
101,Smithers,90.0,CA,1510848000.0,92.0,54.78,-127.17,12.2,2.24
102,Palmer,90.0,US,1510849920.0,93.0,42.16,-72.33,44.6,4.7
103,Fortuna,90.0,US,1510849920.0,87.0,40.6,-124.16,50.0,6.93
104,Atuona,0.0,PF,1510851171.0,100.0,-9.8,-139.03,79.49,17.02
105,Iqaluit,20.0,CA,1510848000.0,69.0,63.75,-68.51,-7.61,26.4
106,Trapani,75.0,IT,1510849200.0,82.0,38.02,12.54,60.8,17.22
107,Kilembe,36.0,UG,1510851177.0,93.0,0.2,30.0,68.96,3.15
108,Kommunisticheskiy,24.0,RU,1510851179.0,81.0,61.68,64.48,13.52,4.61
109,Iracoubo,44.0,GF,1510851183.0,66.0,5.48,-53.2,85.61,7.18
110,Peque,80.0,CO,1510851185.0,91.0,7.02,-75.91,69.77,2.37
111,Godinesti,92.0,RO,1510851186.0,98.0,45.0,22.97,41.55,2.71
112,Tuy Hoa,92.0,VN,1510851188.0,100.0,13.08,109.3,75.35,2.37
113,Belmonte,75.0,BR,1510848000.0,83.0,-15.86,-38.88,80.6,10.29
114,Luderitz,0.0,NA,1510850936.0,62.0,-26.65,15.16,63.33,24.52
115,Amarante do Maranhao,76.0,BR,1510851194.0,87.0,-5.57,-46.74,78.63,3.71
116,Cayenne,40.0,GF,1510848000.0,62.0,4.93,-52.33,89.6,12.75
117,Esfarayen,0.0,IR,1510848000.0,45.0,37.08,57.51,48.2,6.93
118,Medicine Hat,90.0,CA,1510848000.0,97.0,50.05,-110.67,32.0,6.93
119,Pervomayskoye,12.0,RU,1510851203.0,91.0,43.92,46.71,42.81,4.38
120,Wukari,0.0,NG,1510851205.0,39.0,7.85,9.78,90.02,4.16
121,Ancud,36.0,CL,1510851209.0,77.0,-41.87,-73.82,55.64,11.88
122,Bokoro,0.0,TD,1510851211.0,21.0,12.38,17.06,81.96,7.52
123,Nuuk,20.0,GL,1510847400.0,67.0,64.18,-51.72,21.2,10.29
124,Nosy Varika,76.0,MG,1510851216.0,94.0,-20.58,48.53,76.52,6.73
125,Bethel,90.0,US,1510849080.0,76.0,41.37,-73.41,55.4,11.41
126,Raipur,68.0,IN,1510851220.0,89.0,21.23,81.63,72.33,7.96
127,Tiksi,76.0,RU,1510851222.0,79.0,71.69,128.87,8.75,11.32
128,Nijar,0.0,ES,1510849800.0,67.0,36.97,-2.21,62.6,2.24
129,Vredendal,0.0,ZA,1510851226.0,45.0,-31.67,18.5,62.57,5.39
130,Salalah,0.0,OM,1510847400.0,57.0,17.02,54.09,80.6,1.12
131,Namibe,0.0,AO,1510851231.0,100.0,-15.2,12.15,71.48,6.29
132,Kamaishi,64.0,JP,1510851233.0,93.0,39.27,141.88,33.18,4.38
133,Araxa,40.0,BR,1510848000.0,45.0,-19.59,-46.94,82.4,5.82
134,Male,90.0,MV,1510848000.0,83.0,4.17,73.51,80.6,9.17
135,Clyde River,40.0,CA,1510848000.0,68.0,70.47,-68.59,-18.41,8.05
136,Ilulissat,20.0,GL,1510847400.0,46.0,69.22,-51.1,6.8,17.22
137,Vanderhoof,68.0,CA,1510851122.0,66.0,54.02,-124.02,12.35,3.27
138,Nelson Bay,92.0,AU,1510849800.0,77.0,-32.72,152.15,66.2,10.29
139,Kavieng,44.0,PG,1510851246.0,100.0,-2.57,150.8,81.02,3.15
140,Kavaratti,32.0,IN,1510851247.0,100.0,10.57,72.64,83.09,4.72
141,Coquimbo,0.0,CL,1510848000.0,63.0,-29.95,-71.34,62.6,12.75
142,Zaraza,32.0,VE,1510851251.0,55.0,9.35,-65.32,92.0,10.42
143,Presidencia Roque Saenz Pena,92.0,AR,1510851253.0,58.0,-26.79,-60.44,69.41,17.02
144,Tigzirt,0.0,DZ,1510851257.0,100.0,36.89,4.12,42.0,1.36
145,Soria,0.0,ES,1510851259.0,53.0,41.76,-2.47,40.83,4.38
146,Iwanai,76.0,JP,1510851260.0,100.0,42.97,140.51,36.02,15.79
147,Gorno-Altaysk,48.0,RU,1510851262.0,85.0,51.96,85.95,7.13,2.93
148,Lilongwe,0.0,MW,1510851264.0,39.0,-13.97,33.79,74.4,7.18
149,Carahue,92.0,CL,1510851268.0,100.0,-38.7,-73.17,54.83,11.32
150,Belaya Gora,80.0,RU,1510851270.0,78.0,68.53,146.42,4.56,11.99
151,Saint Joseph,1.0,US,1510847580.0,59.0,39.77,-94.85,39.2,8.05
152,Nagpur,40.0,IN,1510849800.0,78.0,21.15,79.1,75.2,7.52
153,Baie-Comeau,90.0,CA,1510850700.0,92.0,49.22,-68.15,33.8,11.41
154,Bambous Virieux,75.0,MU,1510848000.0,94.0,-20.34,57.76,75.2,3.36
155,Guiratinga,32.0,BR,1510851282.0,46.0,-16.35,-53.76,91.05,8.86
156,San Quintin,0.0,MX,1510851284.0,38.0,30.48,-115.95,76.56,3.71
157,Cochrane,90.0,CA,1510849080.0,92.0,51.18,-114.47,15.8,8.05
158,Petukhovo,88.0,RU,1510851287.0,94.0,55.07,67.9,36.11,23.06
159,Port-Cartier,90.0,CA,1510848000.0,100.0,50.03,-66.87,32.0,12.75
160,Saskylakh,76.0,RU,1510851291.0,66.0,71.92,114.08,-4.13,6.4
161,New Norfolk,75.0,AU,1510849800.0,93.0,-42.78,147.06,55.4,5.82
162,Igarka,64.0,RU,1510851296.0,67.0,67.47,86.58,-4.49,18.25
163,Qaanaaq,0.0,GL,1510851298.0,100.0,77.48,-69.36,-11.42,8.63
164,Haldia,92.0,IN,1510851302.0,98.0,22.06,88.11,71.12,10.2
165,Agadir,0.0,MA,1510849800.0,56.0,30.42,-9.6,69.8,11.41
166,Sabinas,0.0,MX,1510851307.0,84.0,27.85,-101.12,69.05,2.15
167,Luanda,20.0,AO,1510848000.0,74.0,-8.84,13.23,78.8,8.05
168,Guerrero,0.0,MX,1510851311.0,49.0,20.17,-98.65,68.87,2.48
169,Tilichiki,8.0,RU,1510851313.0,76.0,60.47,166.1,16.67,2.71
170,Macau,12.0,BR,1510851314.0,34.0,-5.12,-36.63,93.89,14.12
171,Chapais,90.0,CA,1510849440.0,86.0,49.78,-74.85,30.2,5.82
172,Inhambane,48.0,MZ,1510851318.0,100.0,-23.86,35.38,71.39,16.24
173,Saint-Philippe,40.0,RE,1510849800.0,78.0,-21.36,55.77,77.0,3.36
174,Pangnirtung,90.0,CA,1510850520.0,84.0,66.15,-65.71,6.8,11.41
175,Chiredzi,0.0,ZW,1510851326.0,72.0,-21.05,31.67,68.33,2.71
176,Cidreira,92.0,BR,1510851329.0,71.0,-30.18,-50.21,72.96,13.0
177,San Patricio,20.0,MX,1510847640.0,74.0,19.22,-104.7,84.2,6.93
178,Nantucket,75.0,US,1510850100.0,76.0,41.28,-70.1,51.8,19.46
179,Torbay,40.0,CA,1510848000.0,69.0,47.67,-52.73,37.4,21.92
180,Tolaga Bay,0.0,NZ,1510851340.0,80.0,-38.37,178.3,47.45,3.49
181,Martapura,40.0,ID,1510849800.0,94.0,-3.42,114.85,78.8,2.24
182,Vao,0.0,NC,1510851346.0,100.0,-22.67,167.48,72.06,15.79
183,Guarapari,20.0,BR,1510848000.0,66.0,-20.67,-40.5,84.2,17.22
184,Uyuni,0.0,BO,1510851349.0,25.0,-20.46,-66.83,69.41,8.08
185,Chokurdakh,88.0,RU,1510851133.0,89.0,70.63,147.92,14.55,10.98
186,Praia,40.0,CV,1510848000.0,58.0,14.92,-23.51,84.2,14.99
187,Delvine,40.0,AL,1510849200.0,68.0,39.95,20.1,64.4,9.17
188,Sopelana,0.0,ES,1510849800.0,82.0,43.38,-2.98,57.2,1.12
189,Timra,0.0,SE,1510849200.0,100.0,62.49,17.33,32.0,4.7
190,Niquero,0.0,CU,1510851364.0,98.0,20.04,-77.58,81.78,11.88
191,Imbituba,0.0,BR,1510848000.0,36.0,-28.24,-48.67,91.4,14.99
192,Touros,0.0,BR,1510851369.0,63.0,-5.2,-35.46,84.66,18.48
193,Victoria,40.0,SC,1510848000.0,78.0,-4.62,55.45,80.6,2.24
194,Port Moresby,92.0,PG,1510851374.0,100.0,-9.44,147.18,77.24,1.92
195,Aloleng,20.0,PH,1510851376.0,99.0,16.13,119.78,80.39,2.48
196,Tarauaca,44.0,BR,1510851378.0,77.0,-8.16,-70.77,85.83,4.16
197,Awjilah,0.0,LY,1510851380.0,30.0,29.11,21.29,64.28,11.32
198,Chukhloma,64.0,RU,1510851382.0,96.0,58.75,42.68,32.28,9.98
199,Maturin,44.0,VE,1510851326.0,67.0,9.75,-63.18,89.48,5.17
200,Husavik,40.0,IS,1510848000.0,100.0,66.04,-17.34,32.0,19.46
201,Channel-Port aux Basques,0.0,CA,1510851389.0,100.0,47.57,-59.14,38.4,2.82
202,Trelleborg,90.0,SE,1510849200.0,93.0,55.38,13.16,48.2,14.99
203,Kirkwall,40.0,GB,1510849200.0,75.0,58.98,-2.96,42.8,23.04
204,Cockburn Town,92.0,BS,1510851401.0,100.0,24.03,-74.52,79.35,14.0
205,Lebu,100.0,CL,1510851405.0,99.0,-37.62,-73.65,56.09,13.56
206,Methoni,40.0,GR,1510849200.0,68.0,36.82,21.7,66.2,6.93
207,Kalabo,0.0,ZM,1510851412.0,59.0,-14.97,22.68,70.26,10.76
208,Chuy,76.0,UY,1510851414.0,82.0,-33.7,-53.46,64.1,15.57
209,Kenai,90.0,US,1510849980.0,92.0,60.55,-151.26,21.2,4.7
210,Bathsheba,75.0,BB,1510848000.0,74.0,13.22,-59.52,87.8,14.99
211,Cubara,20.0,CO,1510851420.0,75.0,7.0,-72.11,80.66,2.37
212,Pevek,64.0,RU,1510851422.0,100.0,69.7,170.31,8.66,14.34
213,Florianopolis,0.0,BR,1510848000.0,36.0,-27.6,-48.55,91.4,14.99
214,Saint George,20.0,BM,1510847700.0,60.0,32.38,-64.68,73.4,11.41
215,Stellenbosch,20.0,ZA,1510848000.0,49.0,-33.93,18.87,68.0,20.8
216,Hobyo,0.0,SO,1510851429.0,78.0,5.35,48.53,79.35,14.0
217,Suntar,44.0,RU,1510851431.0,60.0,62.14,117.63,-6.87,6.4
218,Barra do Garcas,75.0,BR,1510848000.0,88.0,-15.89,-52.26,75.2,2.24
219,Vawkavysk,92.0,BY,1510851434.0,97.0,53.16,24.45,38.9,5.39
220,Changji,90.0,CN,1510848000.0,100.0,44.02,87.32,32.0,2.24
221,Talnakh,0.0,RU,1510851438.0,53.0,69.49,88.4,-31.49,2.93
222,Boone,1.0,US,1510850100.0,41.0,36.22,-81.67,60.8,12.75
223,Clarence Town,80.0,BS,1510851445.0,100.0,23.1,-74.98,79.35,13.22
224,Buraydah,0.0,SA,1510848000.0,31.0,26.33,43.98,75.2,9.17
225,Atar,44.0,MR,1510851451.0,15.0,20.52,-13.05,82.28,3.38
226,Grindavik,75.0,IS,1510848000.0,59.0,63.84,-22.43,35.6,14.99
227,Rizhao,76.0,CN,1510851455.0,87.0,35.43,119.46,50.15,7.07
228,Xining,0.0,CN,1510851456.0,61.0,36.62,101.77,15.86,1.59
229,Lorengau,36.0,PG,1510851458.0,100.0,-2.02,147.27,82.73,6.06
230,Ahipara,24.0,NZ,1510851460.0,100.0,-35.17,173.17,56.0,13.11
231,Zdvinsk,92.0,RU,1510851462.0,86.0,54.7,78.66,15.5,14.12
232,La Palma,92.0,PA,1510851464.0,96.0,8.4,-78.15,79.13,9.98
233,Orlik,0.0,RU,1510851466.0,31.0,52.52,99.83,-25.64,1.92
234,Villazon,0.0,BO,1510851468.0,31.0,-22.09,-65.59,65.99,5.95
235,Pisco,0.0,PE,1510848000.0,77.0,-13.7,-76.22,66.2,11.41
236,Port Hardy,75.0,CA,1510848480.0,100.0,50.7,-127.42,35.6,0.25
237,Nyamuswa,75.0,TZ,1510848000.0,83.0,-1.9,34.02,75.2,6.93
238,Conde,75.0,BR,1510848000.0,54.0,-7.26,-34.91,84.2,17.22
239,Vangaindrano,76.0,MG,1510851477.0,93.0,-23.35,47.6,71.84,5.39
240,Kodiak,90.0,US,1510847580.0,69.0,57.79,-152.41,39.2,14.99
241,Port Lincoln,0.0,AU,1510851485.0,100.0,-34.73,135.87,53.84,10.76
242,Rio Gallegos,90.0,AR,1510848000.0,93.0,-51.62,-69.22,48.2,14.99
243,Lagoa,20.0,PT,1510851488.0,99.0,39.05,-27.98,67.7,8.75
244,Dakar,0.0,SN,1510849800.0,42.0,14.69,-17.44,86.0,10.29
245,Svetlaya,0.0,RU,1510851492.0,100.0,46.54,138.33,14.51,12.77
246,Yako,0.0,BF,1510851494.0,31.0,12.97,-2.27,85.11,4.72
247,Fort Nelson,90.0,CA,1510848000.0,77.0,58.81,-122.7,3.2,5.82
248,Coruripe,68.0,BR,1510851499.0,90.0,-10.13,-36.18,80.3,14.67
